respondent_id,wave,concept_id,concept_name,question_code,question_text,verbatim_text,verbatim_text_clean,sentiment_polarity,sentiment_label,toxicity_flag,length_chars,length_tokens,topic_label,embeddings_ref,source_file
jan24_csoap_glory_girls_night_out_stardust_stick_r0032,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,It’s quite original,it’s quite original,0.375,positive,False,19,3,general,c71c15beb3da94ce,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0033,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,"I like the idea of adding glow on the go! No messy tubs of glitter, so stickiness from liquid types. Just rub on and go! Genius","i like the idea of adding glow on the go! no messy tubs of glitter, so stickiness from liquid types. just rub on and go! genius",0.125,positive,False,127,26,general,29114faefaf4a7bc,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0034,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,star dust,star dust,0.0,neutral,False,9,2,general,a59c9c3627ff1ce4,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0035,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,The claims it makes your skin feel and smell like,the claims it makes your skin feel and smell like,0.0,neutral,False,49,10,scent,ccf98bf5cef93dfb,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0036,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,The description,the description,0.0,neutral,False,15,2,general,716d7fcdc5ef453c,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_stardust_stick_r0037,Jan24,soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,LIKES,What did you like about this concept?,Brand quality,brand quality,0.0,neutral,False,13,2,brand,2dececbae2696488,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0000,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Love the cooling concept,love the cooling concept,0.5,positive,False,24,4,general,490f53e14ef44736,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0001,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I like the scent,i like the scent,0.0,neutral,False,16,4,scent,f5297795d6f63889,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0002,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,compact,compact,0.0,neutral,False,7,1,general,7cf74ca49c304df8,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0003,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I like the sound of a handy wipe you can pop in your handbag to freshen up,i like the sound of a handy wipe you can pop in your handbag to freshen up,0.5,positive,False,74,17,general,587972f7a62db0cb,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0004,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Good idea,good idea,0.7,positive,False,9,2,general,5d60cb214f87420a,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0005,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,This product sounds rather innovative and exciting to use as I've never heard of anything quite like it before.,this product sounds rather innovative and exciting to use as i've never heard of anything quite like it before.,0.4,positive,False,111,19,general,dd2b70abce9563e2,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0006,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Great,great,0.8,positive,False,5,1,general,acaa16770db76c1f,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0007,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Its new and very exciting,its new and very exciting,0.2631818181818182,positive,False,25,5,general,ba4b455bedc2a881,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0008,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,"convenient and quick way to refresh, can be shared, as individually wrapped, rather than one big pack","convenient and quick way to refresh, can be shared, as individually wrapped, rather than one big pack",0.1111111111111111,positive,False,101,17,general,1d14b6e341bc391a,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0009,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Easy use,easy use,0.43333333333333335,positive,False,8,2,general,ce3f6681b4cadf7f,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0010,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I like the title a lot.  I like it’s refreshing.  Until I try I am not sure of priductv,i like the title a lot. i like it’s refreshing. until i try i am not sure of priductv,0.125,positive,False,85,19,general,a9a9075ce251f5f9,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0011,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,"I like that wipes are single packs, biodegradable and scented","i like that wipes are single packs, biodegradable and scented",-0.07142857142857142,neutral,False,61,10,scent,4b1a29c8770ad7dd,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0012,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Picture story,picture story,0.0,neutral,False,13,2,general,03030902e8767156,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0013,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Everything,everything,0.0,neutral,False,10,1,general,312db69f5bf4447d,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0014,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Shimmer look on chests,shimmer look on chests,0.0,neutral,False,22,4,general,f7fce37ef86b293a,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0015,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,The scent and the idea of wipes to reduce sweat.,the scent and the idea of wipes to reduce sweat.,0.0,neutral,False,48,10,scent,be5d4e678bb10b33,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0016,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Very good product,very good product,0.9099999999999999,positive,False,17,3,general,f989d57de0578f3d,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0017,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I liked all of this product,i liked all of this product,0.6,positive,False,27,6,general,5c1e3bf961441c9a,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0018,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Liked the idea of wipe with nice fragrance,liked the idea of wipe with nice fragrance,0.6,positive,False,42,8,scent,f01b6ee3d0cb825e,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0019,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I liked that it comes in small discrete packaging and that it also has a scent so you feel more fresh after using.,i liked that it comes in small discrete packaging and that it also has a scent so you feel more fresh after using.,0.2875,positive,False,114,23,scent,95d855a8bf9d98b8,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0020,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Everything,everything,0.0,neutral,False,10,1,general,312db69f5bf4447d,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0021,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,"It's a great idea, I would use it keeps you fresh","it's a great idea, i would use it keeps you fresh",0.55,positive,False,49,11,general,3e4eeaff65df82b6,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0022,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,keeps me clean and refreshed even when things get heated up on a night out or the dancefloor,keeps me clean and refreshed even when things get heated up on a night out or the dancefloor,0.3666666666666667,positive,False,92,18,general,863052e1154953b2,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0023,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I like the fragrance price and idea to freshen up,i like the fragrance price and idea to freshen up,0.0,neutral,False,49,10,price,e5aa5c3546fbb1ec,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0024,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Smell,smell,0.0,neutral,False,5,1,scent,d938ad5cbe68bec4,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0025,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Biodegradable packaging,biodegradable packaging,0.0,neutral,False,23,2,packaging,93b7b35b20b10754,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0026,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Handy little product,handy little product,0.20625,positive,False,20,3,general,279e3b3435710f3e,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0027,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Extremely handy to take on a night out to wipe and refresh sweaty areas on the body or handy for festivals.  To freshen up.,extremely handy to take on a night out to wipe and refresh sweaty areas on the body or handy for festivals. to freshen up.,0.6,positive,False,122,24,general,5875c98121cb339d,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0028,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,It feels good,it feels good,0.7,positive,False,13,3,general,1789880e3119e791,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0029,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,The idea of refreshing fast,the idea of refreshing fast,0.35,positive,False,27,5,general,725256acfd62b785,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0030,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I like the idea it's definitely something I would have used in the past and I love soap and glory scents,i like the idea it's definitely something i would have used in the past and i love soap and glory scents,0.08333333333333333,neutral,False,104,21,scent,331de8fd4c9349fb,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0031,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I like keeping up with being clean when out with ransoms and sweating I’d like to come home more clean,i like keeping up with being clean when out with ransoms and sweating i’d like to come home more clean,0.41111111111111115,positive,False,102,20,general,527f0e68dfea1943,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0032,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,I like the name,i like the name,0.0,neutral,False,15,4,general,d5686a116d46fd5a,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0033,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Love the idea of having fresheners on the go! I sweat a lot and im embarrassed by it! These would be perfect and discreet in your bag,love the idea of having fresheners on the go! i sweat a lot and im embarrassed by it! these would be perfect and discreet in your bag,0.890625,positive,False,133,27,general,22c7b22bc2acaf0b,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0034,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,refreshing clean,refreshing clean,0.43333333333333335,positive,False,16,2,general,6519966e014ab24e,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0035,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,The glow you can have from the product making your skin bright and young.,the glow you can have from the product making your skin bright and young.,0.4,positive,False,73,14,skincare,9619ff9c02ffdd3d,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_refresh_queen_r0036,Jan24,soap_glory_girls_night_out_refresh_queen,Soap & Glory Girl's Night Out Refresh Queen​,LIKES,What did you like about this concept?,Brand quality,brand quality,0.0,neutral,False,13,2,brand,2dececbae2696488,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
jan24_csoap_glory_girls_night_out_cool_aid_r0000,Jan24,soap_glory_girls_night_out_cool_aid,Soap & Glory Girl's Night Out Cool Aid​,LIKES,What did you like about this concept?,practical everyday product,practical everyday product,-0.2,negative,False,26,3,general,1087be77e6db2825,Witty Optimist_S&G Jan'24 Verbatims V2.xlsx
